Ranking,Pais,1990,Indice_Ingreso_1990,1991,Indice_Ingreso_1991,1992,Indice_Ingreso_1992,1993,Indice_Ingreso_1993,1994,Indice_Ingreso_1994,1995,Indice_Ingreso_1995,1996,Indice_Ingreso_1996,1997,Indice_Ingreso_1997,1998,Indice_Ingreso_1998,1999,Indice_Ingreso_1999,2000,Indice_Ingreso_2000,2001,Indice_Ingreso_2001,2002,Indice_Ingreso_2002,2003,Indice_Ingreso_2003,2004,Indice_Ingreso_2004,2005,Indice_Ingreso_2005,2006,Indice_Ingreso_2006,2007,Indice_Ingreso_2007,2008,Indice_Ingreso_2008,2009,Indice_Ingreso_2009,2010,Indice_Ingreso_2010,2011,Indice_Ingreso_2011,2012,Indice_Ingreso_2012,2013,Indice_Ingreso_2013,2014,Indice_Ingreso_2014,2015,Indice_Ingreso_2015,2016,Indice_Ingreso_2016,2017,Indice_Ingreso_2017,2018,Indice_Ingreso_2018,2019,Indice_Ingreso_2019
73, Bosnia and Herzegovina,1775,0.43449451783766097,1644,0.42291335794689683,1587,0.4175830762432282,1612,0.4199441079195465,1856,0.4412351096777347,2309,0.47422430620095724,3830,0.5506661002767393,5374,0.6018298406816985,7999,0.6619113550796105,8438,0.6699820784943845,8491,0.6709279087170628,8573,0.6723796979011933,8864,0.677421998683514,9092,0.681258327254672,9539,0.6885080585907892,9871,0.6936760538991994,10293,0.6999996829290681,10906,0.7087381125739822,11591,0.7179397990965193,11314,0.7142860573279565,11252,0.7134560051333776,11398,0.7154034172514914,11492,0.7166440741820118,12032,0.723580345830057,12322,0.7271779669804398,12882,0.7338915944805824,13383,0.7396550136300718,13739,0.7436207188886897,14378,0.7504878267289814,14872,0.7555906388586326
100, Botswana,8866,0.6774560778108736,9637,0.6900520292369141,9737,0.6916114085376271,10047,0.6963456493089589,9108,0.6815239198178268,9916,0.6943631231498395,9789,0.6924159682632538,10610,0.7045816413357437,10960,0.7094842047789942,10962,0.7095117671787385,10781,0.7069967767024218,11024,0.7103637166166714,10359,0.700965178979057,11063,0.7108971688416389,11006,0.7101168710633436,11498,0.7167229201505944,12295,0.7268466100821416,13180,0.737346169715053,13759,0.7438404523355093,13002,0.73529221398558,13489,0.7408467366559626,14496,0.7517224790483669,15084,0.7577287313744383,16120,0.7677627832058962,16818,0.7741658852577601,16237,0.7688551958274608,15623,0.7630322388944188,15981,0.766454607268058,16311,0.7695420671180125,16437,0.7707044658034082
84, Brazil,10251,0.6993820476529016,10258,0.6994851623986931,10071,0.6967060568318663,10312,0.7002782618865705,10541,0.7035960725739959,11084,0.7111836339438808,11016,0.7102540572787305,11157,0.7121752357593767,10886,0.70846084426673,10694,0.7057728492959319,11276,0.7137778569555225,11237,0.713254498947535,11412,0.7155888429862453,11420,0.7156946984435413,11959,0.7226610759019224,12208,0.7257739329523706,12602,0.7305720758107348,13280,0.7384879418281575,13774,0.7440050429137148,13649,0.7426279436031733,14409,0.7508131631296411,14921,0.7560875164816622,15083,0.7577187167404716,15579,0.7626062112944985,15450,0.761350205518258,14775,0.7546021774137464,14139,0.7479557816247911,14248,0.749115830636044,14182,0.7484144802188044,14263,0.7492747753366684
47, Brunei Darussalam,71469,0.99271543942453,71643,0.9930827560745851,72947,0.995807453693514,71146,0.9920312044610223,71414,0.9925991475544511,72688,0.9952701724675227,72937,0.9957867446737974,70174,0.9899532468291511,68211,0.9856674891032019,68771,0.9869025664247361,69254,0.9879597693382713,69717,0.9889662967777882,71007,0.9917357938350957,71722,0.9932492319088102,70853,0.9914078283512293,70021,0.989623541260814,72083,0.9940076371600473,71648,0.9930932979600796,69405,0.9882887696116774,67383,0.983822633132531,67479,0.9840376878204611,67387,0.983831599859929,67319,0.9836790930583562,66079,0.9808707375795955,64340,0.9768421606615768,66410,0.9816255104454591,65043,0.9784836935400143,64619,0.9774957732796896,60975,0.9687278126728103,63965,0.9759591699665321
56, Bulgaria,11189,0.7126078668081868,10197,0.6985842162310428,10322,0.7004246762930897,10245,0.6992936075266165,10449,0.7022718976068021,10717,0.706097381840708,11238,0.7132679410593464,9738,0.6916269213213511,10331,0.700556328030704,9571,0.6890139495297889,9977,0.6952895222344261,10819,0.7075282696389327,11917,0.7221296345162694,12580,0.7303081391150128,13439,0.7402857744419872,14391,0.7506243434408306,15088,0.7577687832721619,15424,0.7610957875650091,16908,0.7749720910393779,16679,0.7729122286807477,17073,0.7764390514915633,17390,0.7792180328567464,17886,0.78346616647709,17887,0.78347461171408,18577,0.7891920808745149,18997,0.792569205999293,19858,0.7992648837154797,20853,0.8066501304717888,22406,0.8175006082700123,23325,0.8235725904585514
182, Burkina Faso,1021,0.350957996942495,1083,0.3598630991969794,1056,0.3560494279659907,1061,0.35676296604939384,1045,0.35446767810603963,1078,0.3591640894749292,1172,0.3717929858722598,1208,0.3763630876542096,1260,0.38272942532690923,1307,0.3882614961267565,1293,0.3866347263741591,1338,0.3918024731420602,1360,0.3942660014948639,1421,0.40089374532762423,1445,0.40342369808296696,1522,0.4112658980489562,1581,0.41701089475840714,1598,0.41862647947825543,1640,0.42254537790772173,1624,0.4210644275026795,1679,0.4260955102893566,1718,0.42956411928359073,1807,0.4371935195141208,1853,0.44099074877562405,1840,0.4399272596777416,1852,0.44090920721824334,1859,0.4414790759187281,1977,0.4507753228829558,2069,0.4576460708574732,2133,0.46224783881009296
185, Burundi,1124,0.36547614640860093,1169,0.3714058287238522,1162,0.3704985843667525,1061,0.35676296604939384,1009,0.3491720955721908,924,0.33587874579093546,832,0.3200360764505093,829,0.31949041999427097,863,0.32556203501938624,839,0.3213016614953593,841,0.3216613181685504,815,0.3169176324490168,827,0.319125550900494,788,0.31182856132669895,795,0.31316450196066786,786,0.3114446837849573,810,0.3159880557838663,813,0.3165464879591599,826,0.31894278532298953,824,0.3185765894312108,842,0.32184082589184965,846,0.3225567311720543,860,0.3250360133686831,878,0.3281650126623964,884,0.3291937730386122,825,0.3187597983455794,795,0.31316450196066786,772,0.30872987356402176,763,0.3069585156991643,754,0.30516613925462654
126, Cabo Verde,2848,0.5059161707214903,2808,0.5037795618132667,2816,0.5042093081383413,2932,0.510307027071236,3040,0.5157711254679188,3170,0.5220964441108839,3292,0.5278008666674776,3472,0.5358423961675994,3676,0.5444668336797127,4017,0.5578670104022598,4183,0.5639837610513269,4432,0.5727181443702125,4530,0.5760218827682086,4697,0.5814904125594206,4817,0.5853011439238928,4983,0.5904190316864876,5383,0.6020826066758675,5895,0.6158073332122579,6177,0.6228658930297434,6029,0.6192025563188186,5928,0.6166505797792212,6120,0.6214655127166704,6087,0.6206487925923199,6106,0.6211195645465976,5971,0.6177423395446479,6035,0.6193528107059217,6251,0.6246647755895567,6414,0.6285531994057607,6703,0.6352105406057619,7019,0.6421690090298002
144, Cambodia,1008,0.34902231298046416,1041,0.3538883649074848,1080,0.35944408164291547,1096,0.36166552949264447,1105,0.3629008853850573,1171,0.37166404371216427,1194,0.37460221822293,1223,0.37822722975768946,1240,0.3803124820624968,1350,0.39315119398936055,1445,0.40342369808296696,1527,0.41176132562123224,1583,0.41720186283868343,1699,0.42788423138427,1840,0.4399272596777416,2039,0.45543976486727966,2226,0.4686944160657706,2435,0.48225023348372237,2542,0.48874629703031397,2498,0.48610874899736284,2602,0.49227030750500744,2736,0.49985581571667714,2869,0.5070259082153674,3062,0.5168603553891602,3196,0.5233303337915569,3332,0.5296252334249114,3507,0.5373575114914064,3684,0.5447952158337764,3876,0.5524695381638293,4246,0.5662418434553488
153, Cameroon,3101,0.5187721685199177,2835,0.5052250822354142,2701,0.4979109845119218,2420,0.48131682743620874,2389,0.47936931546425593,2400,0.4800632457074586,2437,0.48237425297458025,2494,0.4858666724529584,2571,0.49045983631645046,2618,0.493196322551389,2589,0.4915137177869403,2610,0.49273402461938315,2674,0.49639338858551774,2789,0.5027539874266398,2935,0.5104615071236085,2902,0.5087534748307164,2964,0.5119467254659196,2996,0.5135688160208307,3037,0.5156219837101594,3055,0.5165146334400924,3056,0.516564070760573,3095,0.5184796137518161,3132,0.5202747407271907,3200,0.5235192715665078,3335,0.5297611767951604,3410,0.5331205976405222,3465,0.5355375409049347,3487,0.5364935930291626,3526,0.538173682649802,3581,0.5405117243236235
16, Canada,30822,0.8656722720307811,29903,0.8610998285007475,29733,0.8602386190335573,30257,0.8628775660705199,31212,0.867571634039184,31759,0.8701960028249379,31973,0.8712104397798917,33096,0.876424979172404,33650,0.8789325990149233,34680,0.8834869437904257,36323,0.8904790111112089,36358,0.8906244948279153,37330,0.8946098028158386,38437,0.8990241413758306,39696,0.9038926509212541,41342,0.9100298195234868,42852,0.9154487000863,45438,0.9243000283316775,45393,0.92415035457562,43472,0.9176185755295971,44190,0.9200930899265827,45169,0.9234030973853563,45527,0.9245956137630543,46217,0.9268678151042611,47026,0.9294890768231332,47042,0.9295404628784419,47128,0.9298163638343759,48069,0.9328027619991219,48292,0.933501913901509,48527,0.9342352031646705
188, Central African Republic,1313,0.38895335564789535,1300,0.38745030114339946,1249,0.38140489468406125,1204,0.3758620731604843,1218,0.3776084016436304,1254,0.3820083942138471,1127,0.36587878298118615,1171,0.37166404371216427,1192,0.37434898139684797,1247,0.38116281813965686,1235,0.3797021550448107,1223,0.37822722975768946,1188,0.3738412305611942,1089,0.36069766337166553,1087,0.3604199873166731,1098,0.3619409274383524,1127,0.36587878298118615,1147,0.3685359443962959,1154,0.3694550173051381,1169,0.3714058287238522,1218,0.3776084016436304,1259,0.3826094922270164,1318,0.38952749442870327,839,0.3213016614953593,838,0.3211215115260287,870,0.32678234185182925,903,0.3324060473014353,959,0.34149484731758917,981,0.3449210004694231,993,0.34675756693938536
187, Chad,989,0.3461478557932188,1051,0.35533250335788014,1104,0.36276412147224746,868,0.3264346875409964,951,0.34022945159208806,935,0.33766640844628637,921,0.3353875072071734,936,0.33782787904571265,978,0.3444583485568242,936,0.33782787904571265,882,0.32885163080540886,948,0.3397521819015879,969,0.34306182953722614,881,0.32868026864139344,1287,0.38593214031043666,1366,0.39493095809931594,1240,0.3803124820624968,1347,0.39281514105569854,1303,0.38779848969106434,1506,0.4096695214331557,1669,0.4251931436191794,1628,0.421436028505284,1716,0.42938816616948566,1714,0.42921200786219804,1778,0.4347496077908457,1804,0.4369425268260005,1656,0.4240119499265,1566,0.41557088641388906,1553,0.41431167777041994,1555,0.4145060867179491
